Player,Club,Season,Goals,Assists,Combined
Shkodran Mustafi,Arsenal FC,2017,3,1,4
Michail Antonio,West Ham United,2017,3,1,4
Demarai Gray,Leicester City,2017,3,1,4
Anthony Knockaert,Brighton & Hove Albion,2017,3,1,4
Sam Clucas,Swansea City,2017,3,1,4
Antonio Valencia,Manchester United,2017,3,1,4
Tomer Hemed,Brighton & Hove Albion,2017,2,2,4
Christian Atsu,Newcastle United,2017,2,2,4
Serge Aurier,Tottenham Hotspur,2017,2,2,4
Tiemoué Bakayoko,Chelsea FC,2017,2,2,4
Sofiane Boufal,Southampton FC,2017,2,2,4
Matt Phillips,West Bromwich Albion,2017,2,2,4
Jonny Evans,West Bromwich Albion,2017,2,2,4
Jake Livermore,West Bromwich Albion,2017,2,2,4
Sung-yueng Ki,Swansea City,2017,2,2,4
Èrik Lamela,Tottenham Hotspur,2017,2,2,4
Jeff Hendrick,Burnley FC,2017,2,2,4
Kenedy,Newcastle United,2017,2,2,4
Adam Smith,AFC Bournemouth,2017,1,3,4
Nathan Redmond,Southampton FC,2017,1,3,4
Jack Wilshere,Arsenal FC,2017,1,3,4
Charlie Daniels,AFC Bournemouth,2017,1,3,4
Jonjo Shelvey,Newcastle United,2017,1,3,4
Collin Quaner,Huddersfield Town,2017,0,4,4
José Holebas,Watford FC,2017,0,4,4
Davy Pröpper,Brighton & Hove Albion,2017,0,4,4
Tom Carroll,Swansea City,2017,0,4,4
Ryan Bertrand,Southampton FC,2017,0,4,4
Iborra,Leicester City,2017,3,0,3
Bakary Sako,Crystal Palace,2017,3,0,3
James Tomkins,Crystal Palace,2017,3,0,3
Steven Davis,Southampton FC,2017,3,0,3
Daryl Janmaat,Watford FC,2017,3,0,3
Andy Carroll,West Ham United,2017,3,0,3
Jamaal Lascelles,Newcastle United,2017,3,0,3
Rajiv van La Parra,Huddersfield Town,2017,3,0,3
Andy King,Swansea City,2017,3,0,3
Dan Gosling,AFC Bournemouth,2017,2,1,3
Daniel Sturridge,West Bromwich Albion,2017,2,1,3
"Papa N'Diaye",Stoke City,2017,2,1,3
Antonio Rüdiger,Chelsea FC,2017,2,1,3
Alfie Mawson,Swansea City,2017,2,1,3
Dejan Lovren,Liverpool FC,2017,2,1,3
Shane Long,Southampton FC,2017,2,1,3
João Mário,West Ham United,2017,2,1,3
Idrissa Gueye,Everton FC,2017,2,1,3
Jack Cork,Burnley FC,2017,2,1,3
Steve Cook,AFC Bournemouth,2017,2,1,3
Ciaran Clark,Newcastle United,2017,2,1,3
Scott Arfield,Burnley FC,2017,2,1,3
Tom Davies,Everton FC,2017,2,1,3
Michy Batshuayi,Chelsea FC,2017,2,1,3
Robbie Brady,Burnley FC,2017,1,2,3
André Carrillo,Watford FC,2017,1,2,3
Fabian Delph,Manchester City,2017,1,2,3
Mamadou Sakho,Crystal Palace,2017,1,2,3
Kevin Long,Burnley FC,2017,1,2,3
Tom Cleverley,Watford FC,2017,1,2,3
Georginio Wijnaldum,Liverpool FC,2017,1,2,3
Arthur Masuaku,West Ham United,2017,0,3,3
Wilfred Ndidi,Leicester City,2017,0,3,3
Cédric Soares,Southampton FC,2017,0,3,3
Dale Stephens,Brighton & Hove Albion,2017,0,3,3
James Milner,Liverpool FC,2017,0,3,3
Matthew Lowton,Burnley FC,2017,0,3,3
Tom Ince,Huddersfield Town,2017,2,0,2
Hal Robson-Kanu,West Bromwich Albion,2017,2,0,2
Pedro Obiang,West Ham United,2017,2,0,2
Laurent Koscielny,Arsenal FC,2017,2,0,2
Craig Dawson,West Bromwich Albion,2017,2,0,2
