league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,cardiff-city-fc,2018,Bruno Écuélé,D,30,1535000,29519
epl,cardiff-city-fc,2018,Callum Paterson,D,24,1170000,22500
epl,cardiff-city-fc,2018,Danny Ward,F,27,960000,18462
epl,cardiff-city-fc,2018,Greg Cunningham,D,27,987000,18981
epl,cardiff-city-fc,2018,Jazz Richards,D,27,675000,12981
epl,cardiff-city-fc,2018,Joe Bennett,D,28,1015000,19519
epl,cardiff-city-fc,2018,Joe Ralls,M,25,1275000,24519
epl,cardiff-city-fc,2018,Josh Murphy,F,23,1300000,25000
epl,cardiff-city-fc,2018,Junior Hoilett,F,28,1456000,28000
epl,cardiff-city-fc,2018,Kadeem Harris,M,25,625000,12019
epl,cardiff-city-fc,2018,Kenneth Zohore,F,24,858000,16500
epl,cardiff-city-fc,2018,Lee Peltier,D,32,987500,18990
epl,cardiff-city-fc,2018,Loic Damour,M,27,495000,9519
epl,cardiff-city-fc,2018,Matthew Connolly,D,31,987000,18981
epl,cardiff-city-fc,2018,Nathaniel Mendez-Laing,F,26,961666,18494
epl,cardiff-city-fc,2018,Neil Etheridge,GK,28,1015000,19519
epl,cardiff-city-fc,2018,Sean Morrison,D,27,1300000,25000
epl,cardiff-city-fc,2018,Souleymane Bamba,D,33,728000,14000
epl,chelsea-fc,2018,Andreas Christensen,D,22,4160000,80000
epl,chelsea-fc,2018,Antonio Rüdiger,D,25,5200000,100000
epl,chelsea-fc,2018,Cesar Azpilicueta,D,29,7540000,145000
epl,chelsea-fc,2018,Cesc Fàbregas,M,31,8112000,156000
epl,chelsea-fc,2018,Charly Musonda,M,22,550000,10577
epl,chelsea-fc,2018,Christian Pulisic,F,20,4125000,79327
epl,chelsea-fc,2018,Danny Drinkwater,M,28,5200000,100000
epl,chelsea-fc,2018,David Luiz,D,31,6240000,120000
epl,chelsea-fc,2018,Davide Zappacosta,D,26,3640000,70000
epl,chelsea-fc,2018,Eden Hazard,M,27,11700000,225000
epl,chelsea-fc,2018,Emerson Palmieri,D,24,3900000,75000
epl,chelsea-fc,2018,Ethan Ampadu,M,18,390000,7500
epl,chelsea-fc,2018,Gary Cahill,D,32,5200000,100000
epl,chelsea-fc,2018,Jamal Blackman,GK,25,416000,8000
epl,chelsea-fc,2018,Jorginho,M,26,5720000,110000
epl,chelsea-fc,2018,Kepa Arrizabalaga,GK,24,7800000,150000
epl,chelsea-fc,2018,Marco van Ginkel,M,26,1450000,27885
epl,chelsea-fc,2018,Marcos Alonso,D,27,5200000,100000
epl,chelsea-fc,2018,"N'Golo Kanté",M,27,7500000,144231
epl,chelsea-fc,2018,Olivier Giroud,F,32,6240000,120000
epl,chelsea-fc,2018,Pedro Rodriguez,M,31,3000000,57692
epl,chelsea-fc,2018,Robert Green,GK,28,1300000,25000
epl,chelsea-fc,2018,Ross Barkley,M,25,5000000,96154
epl,chelsea-fc,2018,Ruben Loftus-Cheek,M,22,1820000,35000
epl,chelsea-fc,2018,Victor Moses,D,28,3900000,75000
epl,chelsea-fc,2018,Willian,M,30,7200000,138462
epl,chelsea-fc,2018,Willy Caballero,GK,37,2080000,40000
epl,crystal-palace,2018,Aaron Wan-Bissaka,D,21,780000,15000
epl,crystal-palace,2018,Alexander Sörloth,F,23,1040000,20000
epl,crystal-palace,2018,Andros Townsend,F,27,2860000,55000
epl,crystal-palace,2018,Cheikhou Kouyaté,M,28,3380000,65000
epl,crystal-palace,2018,Christian Benteke,F,28,6240000,120000
epl,crystal-palace,2018,Connor Wickham,F,25,3120000,60000
epl,crystal-palace,2018,Jairo Riedewald,D,22,2860000,55000
epl,crystal-palace,2018,James McArthur,M,31,2860000,55000
epl,crystal-palace,2018,James Tomkins,D,29,2600000,50000
epl,crystal-palace,2018,Jason Puncheon,M,38,1820000,35000
epl,crystal-palace,2018,Jeffrey Schlupp,D,25,2912000,56000
epl,crystal-palace,2018,Joel Ward,D,29,1820000,35000
epl,crystal-palace,2018,Jonny Williams,M,25,780000,15000
epl,crystal-palace,2018,Julian Speroni,GK,39,1300000,25000
epl,crystal-palace,2018,Luka Milivojevic,M,27,2860000,55000
epl,crystal-palace,2018,Mamadou Sakho,D,28,5200000,100000
epl,crystal-palace,2018,Martin Kelly,D,28,1300000,25000
epl,crystal-palace,2018,Max Meyer,M,23,6500000,125000
epl,crystal-palace,2018,Pape Souare,D,28,1560000,30000
epl,crystal-palace,2018,Patrick van Aanholt,D,28,2860000,55000
epl,crystal-palace,2018,Scott Dann,D,31,3120000,60000
epl,crystal-palace,2018,Sullay Kaikai,M,23,156000,3000
epl,crystal-palace,2018,Vicente Guaita,GK,31,3120000,60000
epl,crystal-palace,2018,Wayne Hennessey,GK,31,2080000,40000
epl,crystal-palace,2018,Wilfried Zaha,F,26,6760000,130000
epl,everton-fc,2018,Ademola Lookman,F,21,1196000,23000
epl,everton-fc,2018,Beni Baningime,M,20,416000,8000
epl,everton-fc,2018,Bernard,M,26,6240000,120000
epl,everton-fc,2018,Cenk Tosun,F,27,3120000,60000
epl,everton-fc,2018,Dominic Calvert-Lewin,F,21,1040000,20000
epl,everton-fc,2018,Gylfi Sigurðsson,M,29,5200000,100000
epl,everton-fc,2018,Idrissa Gueye,M,29,3640000,70000
epl,everton-fc,2018,James McCarthy,M,28,2600000,50000
epl,everton-fc,2018,Jonjoe Kenny,D,21,780000,15000
epl,everton-fc,2018,Jordan Pickford,GK,24,5200000,100000
epl,everton-fc,2018,Kieran Dowell,M,21,780000,15000
epl,everton-fc,2018,Leighton Baines,D,34,3640000,70000
epl,everton-fc,2018,Lucas Digne,D,25,4680000,90000
epl,everton-fc,2018,Maarten Stekelenburg,GK,36,1560000,30000
epl,everton-fc,2018,Mason Holgate,D,22,1300000,25000
epl,everton-fc,2018,Michael Keane,D,25,3120000,60000
epl,everton-fc,2018,Morgan Schneiderlin,M,29,5200000,100000
epl,everton-fc,2018,Oumar Niasse,F,28,2860000,55000
epl,everton-fc,2018,Phil Jagielka,D,36,2600000,50000
epl,everton-fc,2018,Richarlison,F,21,4680000,90000
epl,everton-fc,2018,Séamus Coleman,D,30,3640000,70000
epl,everton-fc,2018,Theo Walcott,F,29,5200000,100000
epl,everton-fc,2018,Tom Davies,M,20,1300000,25000
epl,everton-fc,2018,Yerry Mina,D,24,6240000,120000
epl,fulham-fc,2018,Aboubakar Kamara,F,23,650000,12500
epl,fulham-fc,2018,Aleksandar Mitrovic,F,24,3120000,60000
epl,fulham-fc,2018,Alfie Mawson,D,24,1664000,32000
epl,fulham-fc,2018,André Schürrle,F,28,5408000,104000
epl,fulham-fc,2018,AndreFrank Zambo Anguissa,M,23,3484000,67000
epl,fulham-fc,2018,Cyrus Christie,D,26,1040000,20000
epl,fulham-fc,2018,Denis Odoi,D,30,462800,8900
epl,fulham-fc,2018,Fabricio Agosto Ramírez,GK,30,2340000,45000
epl,fulham-fc,2018,Floyd Ayité,F,29,416000,8000
epl,fulham-fc,2018,Ibrahima Cissé,M,24,650000,12500
epl,fulham-fc,2018,Jean Michaël Seri,M,27,3380000,65000
epl,fulham-fc,2018,Joe Bryan,D,25,1560000,30000
epl,fulham-fc,2018,Kevin McDonald,M,20,1144000,22000
epl,fulham-fc,2018,Marcus Bettinelli,GK,26,1820000,35000
epl,fulham-fc,2018,Maxime Le Marchand,D,29,1300000,25000
epl,fulham-fc,2018,Neeskens Kebano,M,26,700000,13462
epl,fulham-fc,2018,Ryan Sessegnon,M,18,416000,8000
epl,fulham-fc,2018,Stefan Johansen,M,27,520000,10000
epl,fulham-fc,2018,Tim Ream,D,31,1404000,27000
epl,fulham-fc,2018,Tom Cairney,M,27,2080000,40000
epl,huddersfield-town,2018,Aaron Mooy,M,28,2600000,50000
epl,huddersfield-town,2018,Abdelhamid Sabiri,M,22,936000,18000
epl,huddersfield-town,2018,Adama Diakhaby,F,22,1560000,30000
epl,huddersfield-town,2018,Alex Pritchard,M,25,1560000,30000
epl,huddersfield-town,2018,Ben Hamer,GK,31,624000,12000
epl,huddersfield-town,2018,Chris Löwe,D,29,1040000,20000
epl,huddersfield-town,2018,Christopher Schindler,D,28,1300000,25000
epl,huddersfield-town,2018,Collin Quaner,F,27,832000,16000
epl,huddersfield-town,2018,Daniel Williams,M,29,1560000,30000
epl,huddersfield-town,2018,Elias Kachunga,F,26,1300000,25000
epl,huddersfield-town,2018,Erik Durm,D,26,1820000,35000
epl,huddersfield-town,2018,Florent Hadergjonaj,D,24,1196000,23000
epl,huddersfield-town,2018,Jon Stankovic,D,22,780000,15000
epl,huddersfield-town,2018,Jonathan Hogg,M,30,1196000,23000
epl,huddersfield-town,2018,Juninho Bacuna,M,21,884000,17000
epl,huddersfield-town,2018,Laurent Depoitre,F,30,1820000,35000
epl,huddersfield-town,2018,Mathias Jørgensen,D,28,1716000,33000
epl,huddersfield-town,2018,Philip Billing,M,22,780000,15000
epl,huddersfield-town,2018,Rajiv van La Parra,M,27,936000,18000
epl,huddersfield-town,2018,Ramadan Sobhi,F,21,1404000,27000
epl,huddersfield-town,2018,Ryan Schofield,GK,19,26000,500
epl,huddersfield-town,2018,Steve Mounié,F,24,1820000,35000
epl,huddersfield-town,2018,Terence Kongolo,D,24,1820000,35000
epl,huddersfield-town,2018,Tommy Smith,D,26,1040000,20000
epl,leicester-city,2018,Adrien Silva,M,29,4160000,80000
epl,leicester-city,2018,Andy King,M,30,2080000,40000
epl,leicester-city,2018,Ben Chilwell,D,21,3380000,65000
epl,leicester-city,2018,Caglar Soyuncu,D,22,2340000,45000
epl,leicester-city,2018,Christian Fuchs,D,32,2600000,50000
epl,leicester-city,2018,Daniel Amartey,M,23,1092000,21000
epl,leicester-city,2018,Danny Simpson,D,31,2340000,45000
epl,leicester-city,2018,Danny Ward,GK,25,1040000,20000
epl,leicester-city,2018,Demarai Gray,F,22,2860000,55000
epl,leicester-city,2018,Eldin Jakupovic,GK,34,1196000,23000
epl,leicester-city,2018,Fousseni Diabaté,F,23,780000,15000
epl,leicester-city,2018,Hamza Choudhury,M,21,416000,8000
epl,leicester-city,2018,Harry Maguire,D,25,4680000,90000
epl,leicester-city,2018,James Maddison,M,22,2860000,55000
epl,leicester-city,2018,Jamie Vardy,F,31,7280000,140000
epl,leicester-city,2018,Jonny Evans,D,30,4160000,80000
epl,leicester-city,2018,Kasper Schmeichel,GK,32,6760000,130000
epl,leicester-city,2018,Kelechi Iheanacho,F,22,3120000,60000
epl,leicester-city,2018,Marc Albrighton,M,29,2340000,45000
epl,leicester-city,2018,Matty James,M,27,1664000,32000
epl,leicester-city,2018,Nampalys Mendy,M,26,2600000,50000
epl,leicester-city,2018,Wilfred Ndidi,M,21,3900000,75000
epl,leicester-city,2018,Ricardo Pereira,D,25,3640000,70000
epl,leicester-city,2018,Rachid Ghezzal,M,26,2340000,45000
epl,leicester-city,2018,Shinji Okazaki,F,32,1820000,35000
epl,leicester-city,2018,Vicente Iborra,M,30,2860000,55000
epl,leicester-city,2018,Wes Morgan,D,34,3120000,60000
epl,leicester-city,2018,Yohan Benalouane,D,31,2080000,40000
epl,liverpool-fc,2018,Adam Lallana,M,30,5720000,110000
epl,liverpool-fc,2018,Alberto Moreno,D,26,3380000,65000
epl,liverpool-fc,2018,Alex OxladeChamberlain,M,25,6240000,120000
epl,liverpool-fc,2018,Alisson Becker,GK,26,4680000,90000
epl,liverpool-fc,2018,Andrew Robertson,D,24,2600000,50000
epl,liverpool-fc,2018,Daniel Sturridge,F,29,6760000,130000
epl,liverpool-fc,2018,Dejan Lovren,D,29,5200000,100000
epl,liverpool-fc,2018,Divock Origi,F,23,2340000,45000
epl,liverpool-fc,2018,Fabinho,M,25,5200000,100000
epl,liverpool-fc,2018,Georginio Wijnaldum,M,28,3900000,75000
epl,liverpool-fc,2018,James Milner,M,32,7280000,140000
epl,liverpool-fc,2018,Joe Gomez,D,21,1560000,30000
epl,liverpool-fc,2018,Joel Matip,D,27,5200000,100000
epl,liverpool-fc,2018,Jordan Henderson,M,28,7280000,140000
epl,liverpool-fc,2018,Lazar Markovic,F,24,3900000,75000
epl,liverpool-fc,2018,Mohamed Salah,F,26,10400000,200000
epl,liverpool-fc,2018,Naby Keïta,M,23,6240000,120000
epl,liverpool-fc,2018,Rhian Brewster,F,18,520000,10000
epl,liverpool-fc,2018,Roberto Firmino,F,27,9360000,180000
epl,liverpool-fc,2018,Sadio Mané,F,26,5200000,100000
epl,liverpool-fc,2018,Simon Mignolet,GK,30,3120000,60000
epl,liverpool-fc,2018,Trent Alexander-Arnold,D,20,2600000,50000
epl,liverpool-fc,2018,Virgil van Dijk,D,27,9360000,180000
epl,liverpool-fc,2018,Xherdan Shaqiri,M,27,4160000,80000
epl,manchester-city-fc,2018,Aymeric Laporte,D,24,3380000,65000
epl,manchester-city-fc,2018,Benjamin Mendy,D,24,4680000,90000
epl,manchester-city-fc,2018,Bernardo Silva,F,24,6240000,120000
epl,manchester-city-fc,2018,Brahim Diaz,M,19,416000,8000
epl,manchester-city-fc,2018,Claudio Bravo,GK,35,4160000,80000
epl,manchester-city-fc,2018,Danilo,D,27,4160000,80000
epl,manchester-city-fc,2018,David Silva,M,32,11440000,220000
epl,manchester-city-fc,2018,Ederson,GK,25,3380000,65000
epl,manchester-city-fc,2018,Eliaquim Mangala,D,27,5200000,100000
epl,manchester-city-fc,2018,Eric Garcia,D,17,750000,14423
epl,manchester-city-fc,2018,Fabian Delph,M,29,4680000,90000
epl,manchester-city-fc,2018,Fernandinho,M,33,7800000,150000
epl,manchester-city-fc,2018,Gabriel Jesus,F,21,4680000,90000
epl,manchester-city-fc,2018,Ilkay Gündogan,M,28,6240000,120000
epl,manchester-city-fc,2018,John Stones,D,24,5200000,100000
epl,manchester-city-fc,2018,Kevin De Bruyne,M,27,18200000,350000
epl,manchester-city-fc,2018,Kyle Walker,D,28,5200000,100000
epl,manchester-city-fc,2018,Leroy Sané,F,22,4680000,90000
epl,manchester-city-fc,2018,Nicolas Otamendi,D,30,6240000,120000
epl,manchester-city-fc,2018,Oleksandr Zinchenko,M,21,1040000,20000
epl,manchester-city-fc,2018,Phil Foden,M,18,624000,12000
epl,manchester-city-fc,2018,Philippe Sandler,D,21,1976000,38000
epl,manchester-city-fc,2018,Raheem Sterling,F,24,9360000,180000
epl,manchester-city-fc,2018,Riyad Mahrez,F,27,6240000,120000
epl,manchester-city-fc,2018,Sergio Agüero,F,30,13000000,250000
epl,manchester-city-fc,2018,Vincent Kompany,D,32,6240000,120000
epl,manchester-united-fc,2018,Alexis Sánchez,F,29,18200000,350000
epl,manchester-united-fc,2018,Ander Herrera,M,29,5980000,115000
epl,manchester-united-fc,2018,Andreas Pereira,M,22,1560000,30000
epl,manchester-united-fc,2018,Anthony Martial,F,23,5720000,110000
epl,manchester-united-fc,2018,Antonio Valencia,D,33,4420000,85000
epl,manchester-united-fc,2018,Ashley Young,M,33,6240000,120000
epl,manchester-united-fc,2018,Chris Smalling,D,29,4160000,80000
epl,manchester-united-fc,2018,David De Gea,GK,28,10400000,200000
epl,manchester-united-fc,2018,Diogo Dalot,M,19,1300000,25000
epl,manchester-united-fc,2018,Eric Bailly,D,24,4160000,80000
epl,manchester-united-fc,2018,Fred,M,25,6240000,120000
epl,manchester-united-fc,2018,Jesse Lingard,F,25,3900000,75000
epl,manchester-united-fc,2018,Juan Mata,M,30,8320000,160000
epl,manchester-united-fc,2018,Lee Grant,GK,35,1560000,30000
epl,manchester-united-fc,2018,Luke Shaw,D,23,7800000,150000
epl,manchester-united-fc,2018,Marcos Rojo,D,28,4160000,80000
epl,manchester-united-fc,2018,Marcus Rashford,F,21,2340000,45000
epl,manchester-united-fc,2018,Marouane Fellaini,M,31,5200000,100000
epl,manchester-united-fc,2018,Matteo Darmian,D,29,2340000,45000
epl,manchester-united-fc,2018,Nemanja Matic,M,30,6240000,120000
epl,manchester-united-fc,2018,Paul Pogba,M,25,15080000,290000
epl,manchester-united-fc,2018,Phil Jones,D,26,3900000,75000
epl,manchester-united-fc,2018,Romelu Lukaku,F,25,9360000,180000
epl,manchester-united-fc,2018,Scott McTominay,M,22,520000,10000
epl,manchester-united-fc,2018,Sergio Romero,GK,31,3640000,70000
epl,manchester-united-fc,2018,Victor Lindelöf,D,24,6240000,120000
epl,newcastle-united-fc,2018,Ayoze Pérez,F,25,2340000,45000
epl,newcastle-united-fc,2018,Christian Atsu,F,26,1560000,30000
epl,newcastle-united-fc,2018,Ciaran Clark,D,29,1820000,35000
epl,newcastle-united-fc,2018,DeAndre Yedlin,D,25,1560000,30000
epl,newcastle-united-fc,2018,Fabian Schär,D,26,2080000,40000
epl,newcastle-united-fc,2018,Federico Fernández,D,29,2236000,43000
epl,newcastle-united-fc,2018,Florian Lejeune,D,27,1976000,38000
epl,newcastle-united-fc,2018,Freddie Woodman,GK,21,156000,3000
epl,newcastle-united-fc,2018,Isaac Hayden,M,23,1144000,22000
epl,newcastle-united-fc,2018,Jacob Murphy,F,23,1300000,25000
epl,newcastle-united-fc,2018,Jamaal Lascelles,D,25,2080000,40000
epl,newcastle-united-fc,2018,Javier Manquillo,D,24,1820000,35000
epl,newcastle-united-fc,2018,Jonjo Shelvey,M,26,3640000,70000
epl,newcastle-united-fc,2018,Joselu,F,28,2080000,40000
epl,newcastle-united-fc,2018,Karl Darlow,GK,28,1300000,25000
epl,newcastle-united-fc,2018,Sung-yueng Ki,M,29,2080000,40000
epl,newcastle-united-fc,2018,Martin Dubravka,GK,29,1976000,38000
epl,newcastle-united-fc,2018,Matt Ritchie,M,29,2340000,45000
epl,newcastle-united-fc,2018,Mohamed Diame,M,31,2340000,45000
epl,newcastle-united-fc,2018,Paul Dummett,D,27,1820000,35000
epl,newcastle-united-fc,2018,Rob Elliot,GK,32,1300000,25000
epl,newcastle-united-fc,2018,Yoshinori Muto,F,26,2808000,54000
epl,southampton-fc,2018,Alex McCarthy,GK,29,2600000,50000
epl,southampton-fc,2018,Angus Gunn,GK,22,2080000,40000
epl,southampton-fc,2018,Cédric Soares,D,27,3380000,65000
epl,southampton-fc,2018,Charlie Austin,F,29,3640000,70000
epl,southampton-fc,2018,Fraser Forster,GK,30,3640000,70000
epl,southampton-fc,2018,Jack Stephens,D,24,2496000,48000
epl,southampton-fc,2018,James Ward-Prowse,M,24,2340000,45000
epl,southampton-fc,2018,Jan Bednarek,D,22,1040000,20000
epl,southampton-fc,2018,Jannik Vestergaard,D,26,3120000,60000
epl,southampton-fc,2018,Manolo Gabbiadini,F,27,4160000,80000
