Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Brownsville,2020-02-01,February,Rail Containers Empty,7226,3
Brownsville,2020-02-01,February,Truck Containers Empty,12733,3
Brownsville,2020-02-01,February,Truck Containers Full,10313,3
Brownsville,2020-02-01,February,Trucks,23012,3
Brownsville,2020-01-01,January,Bus Passengers,4467,3
Brownsville,2020-01-01,January,Pedestrians,256787,3
Brownsville,2020-01-01,January,Personal Vehicle Passengers,706955,3
Brownsville,2020-01-01,January,Personal Vehicles,390959,3
Brownsville,2020-01-01,January,Rail Containers Empty,8065,3
Brownsville,2020-01-01,January,Truck Containers Empty,12421,3
Brownsville,2020-01-01,January,Truck Containers Full,10688,3
Brownsville,2020-01-01,January,Trucks,23501,3
Brownsville,2019-12-01,December,Bus Passengers,4668,3
Brownsville,2019-12-01,December,Pedestrians,285701,3
Brownsville,2019-12-01,December,Personal Vehicle Passengers,872669,3
Brownsville,2019-12-01,December,Personal Vehicles,405153,3
Brownsville,2019-12-01,December,Rail Containers Empty,7050,3
Brownsville,2019-12-01,December,Truck Containers Empty,9798,3
Brownsville,2019-12-01,December,Truck Containers Full,10223,3
Brownsville,2019-12-01,December,Trucks,19943,3
Brownsville,2019-11-01,November,Bus Passengers,3466,3
Brownsville,2019-11-01,November,Pedestrians,260826,3
Brownsville,2019-11-01,November,Personal Vehicle Passengers,790619,3
Brownsville,2019-11-01,November,Personal Vehicles,380549,3
Brownsville,2019-11-01,November,Rail Containers Empty,7382,3
Brownsville,2019-11-01,November,Truck Containers Empty,10674,3
Brownsville,2019-11-01,November,Truck Containers Full,11585,3
Brownsville,2019-11-01,November,Trucks,22197,3
Brownsville,2019-10-01,October,Bus Passengers,3051,3
Brownsville,2019-10-01,October,Pedestrians,256951,3
Brownsville,2019-10-01,October,Personal Vehicle Passengers,775063,3
Brownsville,2019-10-01,October,Personal Vehicles,389573,3
Brownsville,2019-10-01,October,Rail Containers Empty,7930,3
Brownsville,2019-10-01,October,Truck Containers Empty,12724,3
Brownsville,2019-10-01,October,Truck Containers Full,13041,3
Brownsville,2019-10-01,October,Trucks,25702,3
Brownsville,2019-09-01,September,Bus Passengers,3137,3
Brownsville,2019-09-01,September,Pedestrians,249583,3
Brownsville,2019-09-01,September,Personal Vehicle Passengers,785306,3
Brownsville,2019-09-01,September,Personal Vehicles,384121,3
Brownsville,2019-09-01,September,Rail Containers Empty,7993,3
Brownsville,2019-09-01,September,Truck Containers Empty,10843,3
Brownsville,2019-09-01,September,Truck Containers Full,12768,3
Brownsville,2019-09-01,September,Trucks,23551,3
Brownsville,2019-08-01,August,Bus Passengers,4772,3
Brownsville,2019-08-01,August,Pedestrians,265214,3
Brownsville,2019-08-01,August,Personal Vehicle Passengers,831351,3
Brownsville,2019-08-01,August,Personal Vehicles,398131,3
Brownsville,2019-08-01,August,Rail Containers Empty,7912,3
Brownsville,2019-08-01,August,Truck Containers Empty,12105,3
Brownsville,2019-08-01,August,Truck Containers Full,14152,3
Brownsville,2019-08-01,August,Trucks,26195,3
Brownsville,2019-07-01,July,Bus Passengers,5400,3
Brownsville,2019-07-01,July,Pedestrians,311597,3
Brownsville,2019-07-01,July,Personal Vehicle Passengers,824697,3
Brownsville,2019-07-01,July,Personal Vehicles,391050,3
Brownsville,2019-07-01,July,Rail Containers Empty,8127,3
Brownsville,2019-07-01,July,Truck Containers Empty,12428,3
